学校ID,学校名称,年份,生源省份,科类,招生批次,专业名称,专业组,最低分,最高分,平均分,最低位次,录取人数,录取类型,专业类型
140,清华大学,2020,北京,3,本科批,工科试验班类,（02）,700.0,0.0,0.0,80.0,1.0,普通类,3_14_23
140,清华大学,2020,北京,3,本科批,电子信息类,（02）,687.0,0.0,0.0,369.0,34.0,普通类,3_14_23
140,清华大学,2020,北京,3,本科批,计算机类,（02）,687.0,0.0,0.0,369.0,57.0,普通类,3_14_23
140,清华大学,2020,北京,3,本科批,理科试验班类,（02）,687.0,0.0,0.0,369.0,21.0,普通类,3_14_23
140,清华大学,2020,北京,3,本科批,工科试验班类,（02）,687.0,0.0,0.0,369.0,8.0,普通类,3_14_23
140,清华大学,2020,北京,3,本科批,理科试验班类,（02）,687.0,0.0,0.0,369.0,15.0,普通类,3_14_23
140,清华大学,2020,北京,3,本科批,理科试验班类,（02）,687.0,0.0,0.0,369.0,9.0,普通类,3_14_23
140,清华大学,2020,北京,3,本科批,建筑类,（02）,687.0,0.0,0.0,369.0,14.0,普通类,3_14_23
140,清华大学,2020,北京,3,本科批,自动化类,（02）,687.0,0.0,0.0,369.0,15.0,普通类,3_14_23
140,清华大学,2020,北京,3,本科批,文科试验班类,（01）,700.0,0.0,0.0,80.0,11.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,工科试验班类,（02）,700.0,0.0,0.0,80.0,1.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,文科试验班类,（01）,697.0,0.0,0.0,116.0,10.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,环境工程,（04）,691.0,0.0,0.0,231.0,3.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,电子信息类,（02）,687.0,0.0,0.0,369.0,34.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,计算机类,（02）,687.0,0.0,0.0,369.0,57.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,理科试验班类,（02）,687.0,0.0,0.0,369.0,21.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,工科试验班类,（02）,687.0,0.0,0.0,369.0,8.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,理科试验班类,（02）,687.0,0.0,0.0,369.0,15.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,理科试验班类,（02）,687.0,0.0,0.0,369.0,9.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,建筑类,（02）,687.0,0.0,0.0,369.0,14.0,普通类,3_14_0
140,清华大学,2020,北京,3,本科批,临床医学类,（03）,687.0,0.0,0.0,369.0,26.0,普通类,3_14_0
