school_name,major_name,description
北京工业大学,土木工程,学科评估：A
北京工业大学,环境科学与工程,学科评估：A-
北京工业大学,控制科学与工程,学科评估：B+
北京工业大学,机械工程,学科评估：B+
北京工业大学,材料科学与工程,学科评估：B+
北京工业大学,软件工程,学科评估：B+
北京工业大学,计算机科学与技术,学科评估：B+
北京工业大学,光学工程,学科评估：B+
北京工业大学,统计学,学科评估：B+
北京工业大学,数学,学科评估：B
北京工业大学,生物医学工程,学科评估：B
北京工业大学,电子科学与技术,学科评估：B
北京工业大学,化学工程与技术,学科评估：B
北京工业大学,交通运输工程,学科评估：B-
北京工业大学,力学,学科评估：B-
北京工业大学,建筑学,学科评估：B-
北京工业大学,物理学,学科评估：B-
北京工业大学,动力工程及工程热物理,学科评估：B-
北京工业大学,仪器科学与技术,学科评估：C+
北京工业大学,信息与通信工程,学科评估：C+
北京工业大学,城乡规划学,学科评估：C
北京工业大学,教育学,学科评估：C
北京工业大学,设计学,学科评估：C
北京工业大学,生物学,学科评估：C-
北京工业大学,水利工程,学科评估：C-
北京大学,社会学,学科评估：A+
北京大学,哲学,学科评估：A+
北京大学,世界史,学科评估：A+
北京大学,力学,学科评估：A+
北京大学,政治学,学科评估：A+
北京大学,生物学,学科评估：A+
北京大学,口腔医学,学科评估：A+
北京大学,考古学,学科评估：A+
北京大学,物理学,学科评估：A+
北京大学,中国语言文学,学科评估：A+
北京大学,大气科学,学科评估：A+
北京大学,外国语言文学,学科评估：A+
北京大学,经济学,学科评估：A+
北京大学,数学,学科评估：A+
北京大学,计算机科学与技术,学科评估：A+
北京大学,心理学,学科评估：A+
北京大学,基础医学,学科评估：A+
北京大学,地理学,学科评估：A+
北京大学,艺术学理论,学科评估：A+
北京大学,统计学,学科评估：A+
北京大学,化学,学科评估：A+
北京大学,中国史,学科评估：A
北京大学,环境科学与工程,学科评估：A
北京大学,法学,学科评估：A
北京大学,生态学,学科评估：A
北京大学,工商管理,学科评估：A
北京大学,药学,学科评估：A
北京大学,电子科学与技术,学科评估：A
北京大学,公共管理,学科评估：A
北京大学,软件工程,学科评估：A
北京大学,理论经济学,学科评估：A
北京大学,马克思主义理论,学科评估：A
北京大学,临床医学,学科评估：A-
北京大学,教育学,学科评估：A-
北京大学,公共卫生与预防医学,学科评估：A-
北京大学,图书情报与档案管理,学科评估：B+
北京大学,核科学与技术,学科评估：B+
北京大学,新闻传播学,学科评估：B+
北京大学,护理学,学科评估：B+
北京大学,地质学,学科评估：B+
北京大学,生物医学工程,学科评估：B+
北京大学,信息与通信工程,学科评估：B+
北京大学,测绘科学与技术,学科评估：B+
北京大学,中西医结合,学科评估：B
